i,d,y,n,resid_ols,resid_wls
5,2025-11-25,62.8496190696781,24,-6.145482079820312,-6.07777959113983
5,2025-11-26,62.52854032002495,24,-5.927773560619947,-5.859917718564667
5,2025-11-27,61.6448073619542,24,-6.2742015316752955,-6.206193000929112
5,2025-11-28,60.8680777888626,14,-6.515170292427122,-6.447009736934369
5,2025-11-29,60.0282551194562,23,-6.8208377600606624,-6.752525842829662
5,2025-11-30,59.5517560133163,17,-6.764848235759992,-6.696385618666817
5,2025-12-01,58.851872173325,23,-6.933970484243012,-6.8653578278356875
5,2025-12-02,57.970342326034654,24,-7.286525735498913,-7.217763698801875
5,2025-12-03,57.0642486090961,23,-7.665491279617555,-7.5965805199367225
5,2025-12-04,56.1207383553573,19,-8.083778665105392,-8.014719837833546
5,2025-12-05,55.38780256892565,18,-8.293455205399184,-8.224248963822163
5,2025-12-06,54.819294850939656,24,-8.340725035837153,-8.27137203094044
5,2025-12-07,54.084668977136,20,-8.556191519006937,-8.486692399283008
5,2025-12-08,53.771405728352704,16,-8.35243039733399,-8.282785808590518
5,2025-12-09,53.3926710393063,22,-8.216331627578576,-8.1465422127472
5,2025-12-10,52.5455552873244,24,-8.550860075563754,-8.480926474509936
5,2025-12-11,52.010328146220346,20,-8.575800645953649,-8.505723495287228
5,2025-12-12,51.3531045754583,13,-8.725092276937417,-8.654872209824347
5,2025-12-13,51.1868492908757,21,-8.385823453557904,-8.315461099532769
5,2025-12-14,50.549174571493,24,-8.52043438515868,-8.449930369938457
5,2025-12-15,50.5421684481874,24,-8.02688880117826,-7.956243746477142
5,2025-12-16,50.238666126588456,14,-7.83240251293779,-7.761617036283269
5,2025-12-17,49.34219023447625,20,-8.233503151146088,-8.16257786569615
5,2025-12-18,49.0396264502258,24,-8.043354522583009,-7.97229003694472
5,2025-12-19,48.59263378299765,24,-8.00034631526534,-7.929143233314747
5,2025-12-20,48.0156091126774,24,-8.090129544097003,-8.01878846480043
5,2025-12-21,47.3535452054942,14,-8.267758521077752,-8.196280038314569
5,2025-12-22,46.753802715874656,24,-8.385918839518027,-8.31430354190492
5,2025-12-23,46.100369842389696,24,-8.560667704406683,-8.488916175123421
5,2025-12-24,45.4760874197349,21,-8.709208826994953,-8.637321643611848
5,2025-12-26,44.74931288922155,24,-8.493502699853764,-8.421345917691362
5,2025-12-27,44.24206353798925,24,-8.534097379982498,-8.461806641074062
5,2025-12-28,43.49452343678515,24,-8.818094866521662,-8.745670724307907
5,2025-12-29,43.0301096041909,23,-8.82211820625433,-8.749561207729613
5,2025-12-30,41.93206013815835,24,-9.462968433829857,-9.390279119380253
5,2025-12-31,41.4588573045139,12,-9.48220147167956,-9.409380374922975
5,2026-01-01,41.29573094727745,24,-9.194624708397171,-9.121672356025357
5,2026-01-02,41.3089165763437,20,-8.734038900039891,-8.66095581166271
