i,T_M,T_L,T_L_label,L_days,L_years,retired,n_M,n_L,cost_total,EAC
1,100,120,120,1621,4.438,True,16.21,13.51,510.73,115.08
1,100,180,180,1599,4.378,True,15.99,8.88,454.57,103.835
1,100,240,240,1543,4.225,True,15.43,6.43,423.44,100.234
1,100,300,300,1535,4.203,True,15.35,5.12,407.45,96.952
1,100,360,360,1517,4.153,True,15.17,4.21,396.08,95.364
1,100,450,450,1442,3.948,True,14.42,3.2,381.71,96.686
1,100,540,540,1437,3.934,True,14.37,2.66,375.04,95.327
1,100,720,720,1270,3.477,True,12.7,1.76,359.27,103.325
1,100,99999,inf,931,2.549,True,9.31,0.0,327.93,128.654
1,120,120,120,1548,4.238,True,12.9,12.9,493.5,116.441
1,120,180,180,1522,4.167,True,12.68,8.46,439.52,105.475
1,120,240,240,1509,4.131,True,12.57,6.29,413.18,100.008
1,120,300,300,1462,4.003,True,12.18,4.87,395.03,98.69
1,120,360,360,1439,3.94,True,11.99,4.0,383.94,97.453
1,120,450,450,1385,3.792,True,11.54,3.08,371.56,97.987
1,120,540,540,1409,3.858,True,11.74,2.61,366.54,95.016
1,120,720,720,1236,3.384,True,10.3,1.72,351.5,103.872
1,120,99999,inf,900,2.464,True,7.5,0.0,322.5,130.881
2,30,120,120,5660,15.496,True,188.67,47.17,1432.0,92.41
2,30,180,180,5560,15.222,True,185.33,30.89,1226.67,80.583
2,30,240,240,5468,14.971,True,182.27,22.78,1120.2,74.827
2,30,300,300,5343,14.628,True,178.1,17.81,1048.02,71.643
2,30,360,360,5270,14.428,True,175.67,14.64,1002.67,69.492
2,30,450,450,5115,14.004,True,170.5,11.37,947.9,67.687
2,30,540,540,4832,13.229,True,161.07,8.95,890.58,67.319
2,30,720,720,4287,11.737,True,142.9,5.95,800.15,68.172
2,30,99999,inf,1558,4.266,True,51.93,0.0,455.8,106.856
2,40,120,120,5543,15.176,True,138.57,46.19,1270.03,83.687
2,40,180,180,5439,14.891,True,135.97,30.22,1070.52,71.89
2,40,240,240,5282,14.461,True,132.05,22.01,960.25,66.401
2,40,300,300,5263,14.409,True,131.57,17.54,905.24,62.824
2,40,360,360,5155,14.114,True,128.88,14.32,858.46,60.825
2,40,450,450,4939,13.522,True,123.47,10.98,802.13,59.319
2,40,540,540,4801,13.144,True,120.03,8.89,766.76,58.334
2,40,720,720,4257,11.655,True,106.42,5.91,690.22,59.221
2,40,99999,inf,1526,4.178,True,38.15,0.0,414.45,99.199
2,50,120,120,5398,14.779,True,107.96,44.98,1163.68,78.739
2,50,180,180,5300,14.511,True,106.0,29.44,971.33,66.94
2,50,240,240,5227,14.311,True,104.54,21.78,874.97,61.141
2,50,300,300,5079,13.906,True,101.58,16.93,807.9,58.099
2,50,360,360,5028,13.766,True,100.56,13.97,769.28,55.883
2,50,450,450,4910,13.443,True,98.2,10.91,725.53,53.972
2,50,540,540,4774,13.07,True,95.48,8.84,692.53,52.984
2,50,720,720,4227,11.573,True,84.54,5.87,624.07,53.925
2,50,99999,inf,1495,4.093,True,29.9,0.0,389.7,95.209
2,60,120,120,5300,14.511,True,88.33,44.17,1095.0,75.462
2,60,180,180,5194,14.22,True,86.57,28.86,905.97,63.709
2,60,240,240,5046,13.815,True,84.1,21.02,804.6,58.24
2,60,300,300,5001,13.692,True,83.35,16.67,750.09,54.783
2,60,360,360,4904,13.426,True,81.73,13.62,708.67,52.782
2,60,450,450,4880,13.361,True,81.33,10.84,674.13,50.456
2,60,540,540,4745,12.991,True,79.08,8.79,642.69,49.472
2,60,720,720,4200,11.499,True,70.0,5.83,580.0,50.439
2,60,99999,inf,1468,4.019,True,24.47,0.0,373.4,92.905
2,70,120,120,5157,14.119,True,73.67,42.98,1036.71,73.426
2,70,180,180,5074,13.892,True,72.49,28.19,855.72,61.599
2,70,240,240,4989,13.659,True,71.27,20.79,763.26,55.879
2,70,300,300,4805,13.155,True,68.64,16.02,698.13,53.068
2,70,360,360,4791,13.117,True,68.44,13.31,665.03,50.7
2,70,450,450,4512,12.353,True,64.46,10.03,613.69,49.679
2,70,540,540,4303,11.781,True,61.47,7.97,580.04,49.235
2,70,720,720,4166,11.406,True,59.51,5.79,547.98,48.043
2,70,99999,inf,1437,3.934,True,20.53,0.0,361.59,91.906
2,80,120,120,5071,13.884,True,63.39,42.26,997.26,71.83
2,80,180,180,4927,13.489,True,61.59,27.37,813.23,60.287
2,80,240,240,4833,13.232,True,60.41,20.14,722.89,54.632
2,80,300,300,4750,13.005,True,59.38,15.83,668.12,51.375
2,80,360,360,4672,12.791,True,58.4,12.98,630.93,49.325
2,80,450,450,4494,12.304,True,56.17,9.99,588.37,47.819
2,80,540,540,4276,11.707,True,53.45,7.92,555.37,47.439
2,80,720,720,3600,9.856,True,45.0,5.0,495.0,50.222
2,80,99999,inf,1404,3.844,True,17.55,0.0,352.65,91.742
2,90,120,120,4952,13.558,True,55.02,41.27,960.27,70.827
2,90,180,180,4852,13.284,True,53.91,26.96,785.2,59.108
2,90,240,240,4755,13.018,True,52.83,19.81,696.25,53.482
2,90,300,300,4673,12.794,True,51.92,15.58,642.69,50.234
2,90,360,360,4549,12.454,True,50.54,12.64,603.27,48.438
2,90,450,450,4452,12.189,True,49.47,9.89,567.12,46.528
2,90,540,540,4249,11.633,True,47.21,7.87,536.06,46.08
2,90,720,720,3571,9.777,True,39.68,4.96,478.55,48.947
2,90,99999,inf,1382,3.784,True,15.36,0.0,346.07,91.462
2,100,120,120,4833,13.232,True,48.33,40.27,928.29,70.155
2,100,180,180,4734,12.961,True,47.34,26.3,757.62,58.454
2,100,240,240,4546,12.446,True,45.46,18.94,663.68,53.324
2,100,300,300,4448,12.178,True,44.48,14.83,611.36,50.202
2,100,360,360,4436,12.145,True,44.36,12.32,580.95,47.834
2,100,450,450,4248,11.63,True,42.48,9.44,540.72,46.492
2,100,540,540,4227,11.573,True,42.27,7.83,520.74,44.997
2,100,720,720,3536,9.681,True,35.36,4.91,465.01,48.033
2,100,99999,inf,1345,3.682,True,13.45,0.0,340.35,92.426
2,120,120,120,4593,12.575,True,38.27,38.27,874.12,69.513
2,120,180,180,4486,12.282,True,37.38,24.92,711.22,57.907
2,120,240,240,4458,12.205,True,37.15,18.57,634.35,51.973
2,120,300,300,4337,11.874,True,36.14,14.46,581.9,49.006
2,120,360,360,4210,11.526,True,35.08,11.69,545.58,47.334
2,120,450,450,4033,11.042,True,33.61,8.96,508.37,46.041
